,engNum,engVerse,ipqNum,ipqVerse
0,rut.1.3,"Elimelech died, leaving Naomi with only her two sons.",rut.1.3,"Elimelech tuquŋaruq, aasii Naomi kisiŋŋuŋagaa igñitiglu malġuk, "
1,rut.1.4,"Later, Naomi's sons married Moabite women. One was named Orpah and the other Ruth. About ten years later, ",rut.1.4,"nuliaŋaruak Moab-miugnik aġnagnik, Orpah-miglu Ruth-miglu. Qulit ukiut qaaŋianigmata "
2,rut.1.5,Mahlon and Chilion also died. Now Naomi had no husband or sons.,rut.1.5,"Mahlon-lu Chilion-lu tuquŋammiuk, aasii Naomi kisiŋŋuŋagaat, uiŋatalu iġñiŋiksalu."
3,rut.1.8,"Naomi said to them, “Don't you want to go back home to your own mothers? You were kind to my husband and sons, and you've always been kind to me. I pray that the  Lord  will be just as kind to you. ",rut.1.8,"uqallautiŋagaik, “Utiġusik aakavsigñiitchaqtuaġitchik. Atanġuptuq nakuugutilisik ilivsik nakuugutimmatun uvaŋalu taipkualu tuquŋaruat. "
4,rut.1.9,May he give each of you another husband and a home of your own.” Naomi kissed them. They cried ,rut.1.9,Suli Atanġum savaaġiliuŋ allanik katillasiḷusik aimaaġviqallasiḷusik.” Tavraa Naomi-m kuniŋagaik aullaqsaġami. Aglaan qianagutiŋaruk 
5,rut.1.10,"and said, “We want to go with you and live among your people.”",rut.1.10,"uqallautivlugu inna, “Naumi! Maligniagivsiġiñ ilvich nanmiñiq iḷaŋnukkuvich.”"
6,rut.1.11,"But she replied, “My daughters, why don't you return home? What good will it do you to go with me? Do you think I could have more sons for you to marry?",rut.1.11,"“Utiqtuksraurusik, paniimaaŋ,” Naomi-m kiuŋagaik. “Summan maligukpisiñŋa? Iġñiqavsaaġniaġnasugivisiñŋa katitchumiñaqtavsigñik? "
7,rut.1.12,"You must go back home, because I am too old to marry again. Even if I got married tonight and later had more sons, ",rut.1.12,"Aisitchik, utuqqauvaitchuŋa uiñitqigñiaŋitchuŋa. Isumagaluaġuma piviqallanasugiluŋasuli aasii katitilluŋa unnuapak aasii iġñiqaġluŋa, "
8,rut.1.13,"would you wait for them to become old enough to marry? No, my daughters! Life is harder for me than it is for you, because the  Lord  has turned against me.”",rut.1.13,"utaqqiñiaqpisik iñuguġataqtillugik? Tavra taamna uiñitchaiḷutaġiniaqpisiuŋ allamik? Naumi, paniimaanŋ, tainaitchumiñaitchuq. Atanġum tunutkaaŋa, aasii nagligiqpakkivsik."""
9,rut.1.14,"They cried again. Orpah kissed her mother-in-law goodbye, but Ruth held on to her. ",rut.1.14,"Qianagutilgitchuk. Tavra Orpah-m kunikł̣ugu aakaruani aisaŋaruq, aglaan Ruth-gum tigummisiññaŋagaa. "
10,rut.1.15,"Naomi then said to Ruth, “Look, your sister-in-law is going back to her people and to her gods! Why don't you go with her?”",rut.1.15,"Tavraasii Naomi-m uqallautigaa, “Ruth, nukaunġun utiqtuq iñugmiñullu god-imiñullu. Utiġiḷḷi aiñmun maliglugu.”"
11,rut.1.16,"Ruth answered, “Please don't tell me to leave you and return home! I will go where you go, I will live where you live; your people will be my people, your God will be my God.",rut.1.16,"Aglaan Ruth-gum kiugaa, “Unitquuŋaiġiñ! Maliglakpiñ. Sumupayaaġuvich, maligniaġikpiñ; sumipayaaq iñuuniaġniaġuvich uvaŋaptauq tavrani iñuuniaġniaġmiuŋa. Iñuich ilvich pigiratin uvaŋaptauq piginiaġmigitka, God-in God-iginiaġmigiga. "
12,rut.1.17,"I will die where you die and be buried beside you. May the  Lord  punish me if we are ever separated, even by death!”",rut.1.17,"Sumipayaaq tuquguvich, tuquniaġmiuŋa, aasii tavrani iḷuviqtauluŋa. Atanġum tatavsautiŋisa suaŋaniqsrauruam tatavsaqsaġaaŋa unitkupkiñ patchisiqaġluŋa allamik avataagun tuquttutim!”"
13,rut.1.18,"When Naomi saw that Ruth had made up her mind to go with her, she stopped urging her to go back.",rut.1.18,Naomi-m iḷitchuġikamiuŋ Ruth maligupiaġataqtilaamiñik uqallatqiŋitchuq.
14,rut.1.19,"They reached Bethlehem, and the whole town was excited to see them. The women who lived there asked, “Can this really be Naomi?”",rut.1.19,"Iglauŋaruk tikiḷġataqhutik Bethlehem-mun. Tikiñmagnik nunaaqqim iñuŋich quviasuŋarut, suli aġnat uqaŋarut inna, “Uvvauna tavra Naomi?”"
15,rut.1.20,"Then she told them, “Don't call me Naomi any longer! Call me Mara,  because God has made my life bitter. ",rut.1.20,"“Taiñasiñŋa Naomi-mik,” Naomi-mim kiuŋagaich; “taisiñŋa Marah-mik, qanukkii Suaŋaniqsrauruam God-im iñuusiġa quviiġaa. "
16,rut.1.21,"I had everything when I left, but the  Lord  has brought me back with nothing. How can you still call me Naomi, when God has turned against me and made my life so hard?”",rut.1.21,"Maaŋŋa aullaġama, susuksiuŋaiñŋaruŋa, aglaan Atanġum utiqtitkaaŋa suiḷaaqłuŋa. Summan Naomi-mik taiñiaqpisiñŋa Atanġum suksraaġmaŋalu nagliksaaliqsiłł̣uŋalu?”"
17,rut.1.22,"The barley harvest was just beginning when Naomi and Ruth, her Moabite daughter-in-law, arrived in Bethlehem.",rut.1.22,"Tainna tavra Naomi utiŋaruq Moab-miñ ukuamiñik Ruth-mik Moab-miumik, piqatiqaqłuni. Tikiñŋaruk Bethlehem-mun palauvaksrat pukugnaqsimmiullu."
18,rut.2.4,"When Boaz arrived from Bethlehem and went out to his field, he said to the harvest workers, “The  Lord  bless you!” They replied, “And may the  Lord  bless you!”",rut.2.4,Aaqagulimman Boaz tikiññiqsuq Bethlehem-miñ aasii paġlavlugi savaktini. “Atanġum itqatigilisi!” uqallaktuq. “Atanġum quviasaaġlisin!” iliŋisa kiugaat.
19,rut.2.5,"Then Boaz asked the man in charge of the harvest workers, “Who is that young woman?”",rut.2.5,"Boaz-gum apiġigaa savaktuat qaukłiat, “Kiñaamna taavamna niviaqsiaq?”"
20,rut.2.6,"The man answered, “She is the one who came back from Moab with Naomi. ",rut.2.6,"Aŋutim kiugaa, “Taaganiġmiu Moab-miñ qairuaq Naomi piqatigivlugu. "
21,rut.2.7,"She asked if she could pick up grain left by the harvest workers, and she has been working all morning without a moment's rest.”",rut.2.7,"Apiġiraani maliġiyumiñaġmagaaġmi aquatigun pukuktuat pukugukhuni palauvaksranik. Uvlaatchauraq isagutiŋaruaq, uvva akkupak nutqaqpaalluktuq piḷaiŋaiqsiaqsaqłuni taġġisimaaġvigmi.”"
22,rut.2.8,"Boaz went over to Ruth and said, “I think it would be best for you not to pick up grain in anyone else's field. Stay here with the women ",rut.2.8,"Boaz-gum uqallautigaa Ruth, “Ikayuutiksramik uqallautilakpiñ. Allani pukugnak palauvaksranik uuma nauriaqaġvium avataagun. Maani aġnat savaqasiqsaġitin; "
23,rut.2.9,"and follow along behind them, as they gather up what the men have cut. I have warned the men not to bother you, and whenever you are thirsty, you can drink from their water jars.”",rut.2.9,qiñiġlugich sumi pukugmagaisa aasii itqasiġḷugich. Piraksriŋagitka savaktitka aŋutit piyuaquŋił̣ł̣utin. Aasiisuli imiġuliġuvich imiġiaqtuqsaqtutin qattaniñ iliŋisa immiŋaraŋiññiñ.”
24,rut.2.10,"Ruth bowed down to the ground and said, “You know I come from another country. Why are you so good to me?”",rut.2.10,"Ruth puttuq kiiñamiñik aksikł̣ugu nuna, aasii uqallakhuni Boaz-mun, “Summan uvva isumaalugiviŋa? Summan uvva nakuugutiviŋa aaniġmiuguruaŋaa?”"
25,rut.2.11,"Boaz answered, “I've heard how you've helped your mother-in-law ever since your husband died. You even left your own father and mother to come and live in a foreign land among people you don't know. ",rut.2.11,"Boaz-gum kiugaa, “Tusaaŋagitka iluqaisa piŋaratin aakaruaġnun tuvaaqatin qaŋa tuqumman. Iḷisimaruŋa uniñŋagikkiñ aapallu aakallu nanmiñiġlu anniviiñ nuna aasii tamauŋa nuułłutin avataannun iñuich naluraqpich sivuani. "
26,rut.2.12,"I pray that the  Lord  God of Israel will reward you for what you have done. And now that you have come to him for protection, I pray that he will bless you.”",rut.2.12,Atanġumtuq akiḷiusiaksriḷḷisin piŋarakkun. Atanġum God-iŋata Israel naamaruamik akiḷiusiaqaqtillisin ullaŋagapku ilaa qaunagitquvlutin!”
27,rut.2.13,"Ruth replied, “Sir, it's good of you to speak kindly to me and make me feel so welcome. I'm not even one of your servants.”",rut.2.13,"Ruth-gum kiugaa, “Aŋalalluatiġiŋma, aŋutauruatiin. Tutqiksipkaġiŋma uqautillautaqłuŋa, uvvaluuvvaa nalliummatiŋitkaluaqtilluŋa kivgaġnun.”"
28,rut.2.14,"At mealtime Boaz said to Ruth, “Come, eat with us. Have some bread and dip it in the sauce.” At once she sat down with the workers, and Boaz handed her some roasted grain. Ruth ate all she wanted and had some left over.",rut.2.14,"Niġiñaqsimman Boaz-gum uqallautigaa Ruth, “Qaiḷutin punniqtuġiñ kiñisaaġutin.” Tavraasii aquptaaqasiŋagaich savaktit aasii Boaz-gum aitchuŋagaa iliktitanik palauvaksranik. Niġiŋaruq siḷvilġataqhuni, aasiisuli iḷakuqaŋammiuq. "
29,rut.2.17,"Ruth worked in the field until evening. Then after she had pounded the grain off the stalks, she had a large basket full of grain. ",rut.2.17,"Tavraasii Ruth pukuŋaruq palauvaksranik unnuksraaġataqtillugu, aasii ivsulaanikkamigi iḷitchuġiruq pukuktilaamiñik uqumaisigiruanik iñuiññaq tallimatun. "
30,rut.2.18,She took the grain to town and showed Naomi how much she had picked up. Ruth also gave her the food left over from her lunch.,rut.2.18,Aggisiŋagaich pukuani aasii tautuktiłługich aakaruamiñun. Qaił̣ł̣ugiḷḷu niġigami iḷakuni. 
31,rut.2.19,"Naomi said, “Where did you work today? Whose field was it? God bless the man who treated you so well!” Then Ruth told her that she had worked in the field of a man named Boaz.",rut.2.19,"Naomi-m apiġigaa, “Sumi pukukpigich ukua palauvaksrat uvlupak? Kia nauriaqaġviani savakpich? God-imtuq ikayuġliuŋ aŋun iliŋnik ikayuiruaq!” Ruth-gum uqallautigaa Naomi savagnivḷuni nauriaqaġviani aŋutim atiqaqtuam Boaz-mik."
32,rut.2.20," “The  Lord  bless Boaz!” Naomi replied. “He  has shown that he is still loyal to the living and to the dead. Boaz is a close relative, one of those who is supposed to look after us.”",rut.2.20,"“Atanġum quviasaaġliuŋ Boaz!” Naomi uqallaktuq nipatuvluni. “Atanġum piiguyuitkai unniqsuqłiiŋakami iñuuruanullu tuquŋaruanullu.” Uqallavsaaqtuq, “Taamna aŋun nanmiñiq iḷagigikpuk, iḷauruq tamatkunuŋa qaunaksriksrautigiraptignun.”"
33,rut.2.21,"Ruth told her, “Boaz even said I could stay in the field with his workers until they had finished harvesting all his grain.”",rut.2.21,"Ruth uqallaktuq, “Uvva nakuuniqsraŋa, uqallautiraani pukukkumiñaġnivḷuŋa savaktimiñi naatchiḷġataqtillugich pukuamignik.”"
34,rut.2.22,"Naomi replied, “My daughter, it's good that you can pick up grain alongside the women who work in his field. Who knows what might happen to you in someone else's field!” ",rut.2.22,"Naomi-m uqallautigaa Ruth, “Aaŋ, paniiŋ, iluałhaaġniaqtuq pukukkuvich aġnani savaktuani Boaz-gum nauriaqaġviŋiññi. Piyuaqpiaġaatin pukugiaġuvich allam nauriaqaġviŋanun.” "
35,rut.2.23,"And so, Ruth stayed close to the women, while picking up grain in his field. Ruth worked in the fields until the barley and wheat were harvested. And all this time she lived with Naomi.",rut.2.23,Tavraasii Ruth-gum savaqasiŋagaich pukukhuni palauvaksranik naatchiḷġataqtiłługich. Tavra iñuuniaqatigiŋagaasuli aakaruani.
36,rut.3.1,"One day, Naomi said to Ruth: It's time I found you a husband, who will give you a home and take care of you.",rut.3.1,"Ikpaksraaġulimman Naomi-mim uqallautigaa Ruth, “Uiksraġnik uvva paqittuksrauruŋa, ilikkulli aimaaġviñikkumautin. "
37,rut.3.2,"You have been picking up grain alongside the women who work for Boaz, and you know he is a relative of ours. Tonight he will be threshing the grain. ",rut.3.2,"Itqaumalutin taamna Boaz, aġnanik savaktiqaqtuaq savaqatigiraġnik, iḷagigikpuk. Naalaġniŋŋa. Unnuksraaqpan amma palauvaksrat katagaalatchiñiaġaich. "
38,rut.3.3,"Now take a bath and put on some perfume, then dress in your best clothes. Go where he is working, but don't let him see you until he has finished eating and drinking. ",rut.3.3,"Iqaġilutillu, tivraġiksaġutillu, annuġaalluataqsaqtutin. Taamuŋaqsaqtutin savagvianun, aglaan taamaniitilaaġnik iḷitchuġipkaġnagu niġianigataqtillugu imianigataqtillugulu. "
39,rut.3.4,"Watch where he goes to spend the night, then when he is asleep, lift the cover and lie down at his feet.  He will tell you what to do.",rut.3.4,Sumun nallaqtilaaŋa naipiqtuqsaġiñ aasii siquanikpan uliŋich makpiġḷugich nallaqsaqtutin isigaŋiññun. Uqallautiniaġaatin sutqugumisin.”
40,rut.3.5,"Ruth answered, “I'll do whatever you say.” ",rut.3.5,"Ruth-gum kiugaa, “Sutqupayaaġumŋa kamaginiaġikpiñ.”"
41,rut.3.6,She went out to the place where Boaz was working and did what Naomi had told her.,rut.3.6,Tavraasii Ruth katagaalatchiviannuŋaruq aasii maliġuaŋagaich aakaruaġmi uqalupayaaŋi. 
42,rut.3.7,"After Boaz finished eating and drinking and was feeling happy, he went over and fell asleep near the pile of grain. Ruth slipped over quietly. She lifted the cover and lay down near his feet.",rut.3.7,"Boaz niġianikkamiḷu imianikkamiḷu quviasuŋaruq. Ullakługich palauvaksrat katitat nallaŋaruq siqusaqhuni. Ruth-gum ullaŋagaa siaksruiḷaamik, uliŋich makpiqł̣ugich nallaŋaruq isigaŋiññun. "
43,rut.3.8,"In the middle of the night, Boaz suddenly woke up and was shocked to see a woman lying at his feet. ",rut.3.8,"Unnuaġruiññakun itiniqłaŋaruq, mumiŋaruq, aasii tupaŋaruq tautukkamiuŋ aġnaq nalaruaq isigamiñi. "
