,eng,ipq
0,He go@@ es to bed at ni@@ ght and gets up by day to wor@@ k.,Un@@ nu@@ aà@@ aàikman siñ@@ ik@@ huni su@@ li uvlu@@ à@@ aàikman makit@@ luni sav@@ aaq@@ aqtuq.
1,"He started te@@ ach@@ ing them and sai@@ d, ","Iá@@ i@@ sauti@@ aqsiñiàai nip@@ liq@@ h@@ uni,"
2,The ol@@ de@@ st bro@@ ther m@@ ar@@ ried and di@@ ed having no children. ,Aä@@ a@@ yuk@@ âi@@ q nu@@ li@@ aqtuaq tuq@@ up@@ luni qitunà@@ ait@@ áuni.
3,He saw Putu lying in bed and having a fever. ,Tautuäniàaa Putu nalaruaq uun@@ aqâuktitluni. 
4,"When the sun had already set or, after the sun had set. ",Siqiñiq nipianikhuni. 
5,T@@ hen getting up she began ser@@ ving them food. ,Tav@@ ra m@@ aki@@ tiq@@ huni niq@@ âi@@ u@@ à@@ uti@@ aqsiñiàai
6,Pray at all times. ,Agaayulusri ataramik. 
7,"If anyone thinks that he is standing unshakab@@ l@@ y@@ , ","Kiñapayaaq isrumaniàumi makitaniáuni payaäaiááuni, "
8,Be happy because you have ho@@ p@@ e.,Quviasrugusri takku piqaqtusri niàiukkamik.
9,"He didn't come to be served, but to serve. ","Aggiäitchuq savautipkaàiaàuni, aglaan savautrityaqhuni."
10,He became thankful when they ser@@ ved him food.,Q@@ u@@ y@@ a@@ aqsiruq pa@@ yuk@@ mat@@ ni niqi@@ nik. 
11,The do@@ c@@ tors said that she was going to di@@ e. ,Ta@@ akti@@ t takku tuq@@ uni@@ aàni@@ yaa@@ t. 
12,The child sp@@ ent the day with his grandm@@ other@@ . ,Iá@@ iá@@ g@@ aaq aan@@ aäa@@ n uv@@ l@@ isi@@ r@@ aà@@ ig@@ aa. 
13,People are going to e@@ at here again t@@ on@@ i@@ gh@@ t. ,Iñu@@ ich niàiñi@@ algitchu@@ t m@@ aani an@@ aq@@ av@@ ak@@ . 
14,Miiyuk bab@@ y@@ s@@ at her f@@ ri@@ en@@ d@@ 's chil@@ d. ,Mii@@ yu@@ um paggisigaa iá@@ an@@ n@@ aà@@ mi qitunà@@ aäa. 
15,Putu is st@@ aying h@@ ome with his fa@@ ther@@ .,Putu@@ m paggisigaa aa@@ pa@@ ni.
16,"You asked me@@ , but I have no answ@@ er for you. ",A@@ piq@@ sruà@@ alu@@ aà@@ ik@@ ma k@@ ig@@ gutiksra@@ itch@@ ik@@ p@@ iñ. 
17,He went out again when the day had reach@@ ed about five o@@ '@@ c@@ lo@@ ck in the af@@ ter@@ no@@ on.,A@@ u@@ ll@@ al@@ giññ@@ iqsuq talli@@ man@@ un sa@@ s@@ s@@ aq tikitch@@ uän@@ aqsipman.
18,Putu is going to come here.,Putu tik@@ iññi@@ aqtuq mau@@ äa.
19,You are t@@ r@@ ying to sho@@ w people that you take long as you pra@@ y.,Qiñ@@ iq@@ ti@@ n@@ ni@@ ag@@ aqsiru@@ si taki@@ ru@@ amik agaayu@@ plu@@ si.
20,The man started to app@@ ear from be@@ h@@ ind the house.,Aä@@ un sag@@ vi@@ aqsiruq tupqum tu@@ nu@@ ani@@ ñ.
21,"K@@ a@@ sa@@ ä@@ na@@ al@@ u@@ k@@ , the p@@ re@@ sid@@ ent@@ , is going to tal@@ k t@@ om@@ orrow@@ .","K@@ a@@ s@@ aä@@ naa@@ luk@@ , qau@@ k@@ âiq@@ , uq@@ aàniaqtuq uv@@ la@@ akun."
22,Putu and Miiyuk m@@ et each other in the stor@@ e.,Putu@@ lu Mii@@ yug@@ lu p@@ aaà@@ uti@@ ru@@ k tauqsiàñiaàviä@@ mi@@ .
